Date,Team,Opponent,Home
Sat. 13 May.,West Bromwich,Chelsea,1
Sat. 13 May.,Chelsea,West Bromwich,0
Sun. 21 May.,Arsenal,Everton,1
Sun. 21 May.,Everton,Arsenal,0
Sun. 21 May.,Southampton,Stoke City,1
Sun. 21 May.,Stoke City,Southampton,0
Sun. 21 May.,Burnley,West Ham Utd,1
Sun. 21 May.,West Ham Utd,Burnley,0
Sun. 21 May.,Swansea City,West Bromwich,1
Sun. 21 May.,West Bromwich,Swansea City,0
Sun. 21 May.,Chelsea,Sunderland,1
Sun. 21 May.,Sunderland,Chelsea,0
Sun. 21 May.,Watford,Manchester City,1
Sun. 21 May.,Manchester City,Watford,0
Sun. 21 May.,Hull City,Tottenham,1
Sun. 21 May.,Tottenham,Hull City,0
Sun. 21 May.,Leicester City,Bournemouth,1
Sun. 21 May.,Bournemouth,Leicester City,0
Sun. 21 May.,Liverpool,Middlesbrough,1
Sun. 21 May.,Middlesbrough,Liverpool,0
Sun. 21 May.,Manchester Utd,Crystal Palace,1
Sun. 21 May.,Crystal Palace,Manchester Utd,0
